audio_path,sentence,lang,source,augmentation
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000000_orig.wav,춘우가 제발 그런 말을 좀 물어주지 않았으면 좋겠다 하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39910916.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000000_speed095.wav,춘우가 제발 그런 말을 좀 물어주지 않았으면 좋겠다 하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39910916.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000000_speed105.wav,춘우가 제발 그런 말을 좀 물어주지 않았으면 좋겠다 하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39910916.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000000_noise.wav,춘우가 제발 그런 말을 좀 물어주지 않았으면 좋겠다 하였다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39910916.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000001_orig.wav,그러면 땅도 파보고 농부들과 함께 아무것이라도 배워 가면서 할 것 같았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813694.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000001_speed095.wav,그러면 땅도 파보고 농부들과 함께 아무것이라도 배워 가면서 할 것 같았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813694.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000001_speed105.wav,그러면 땅도 파보고 농부들과 함께 아무것이라도 배워 가면서 할 것 같았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813694.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000001_noise.wav,그러면 땅도 파보고 농부들과 함께 아무것이라도 배워 가면서 할 것 같았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39813694.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000002_orig.wav,그런데 여보게,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549570.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000002_speed095.wav,그런데 여보게,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549570.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000002_speed105.wav,그런데 여보게,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549570.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000002_noise.wav,그런데 여보게,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549570.mp3,noise
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000003_orig.wav,그는 어정어정 걸으며 사면을 휘휘 돌아보았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44717004.mp3,orig
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000003_speed095.wav,그는 어정어정 걸으며 사면을 휘휘 돌아보았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44717004.mp3,speed095
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000003_speed105.wav,그는 어정어정 걸으며 사면을 휘휘 돌아보았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44717004.mp3,speed105
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000003_noise.wav,그는 어정어정 걸으며 사면을 휘휘 돌아보았다.,ko,C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_44717004.mp3,noise
