audio_path,sentence,lang
C:\Github\cstool\data\processed\codeswitch_eval\clips\cs_000158.wav,"Встретить кого-то, с кем можно поговорить на эту тему, было здорово. 신철이는 빙긋이 웃으며 대문 밖을 나섰다.",mixed
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_26888874.mp3,"В то же время, механизм вето остается гарантией выверенности, эффективности принимаемых решений.",ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000050_noise.wav,이 못은 언제 어떻게 생겼는지 아무도 아는 사람이 없을 것이다.,ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000409_speed095.wav,"서두르세요, 경찰차 왔다 갔다 해요",ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000447_noise.wav,미안하네.,ko
C:\Github\cstool\data\processed\codeswitch_eval\clips\cs_000470.wav,"Это главным образом проблемы, касающиеся международной солидарности. 맨 처음 일을 시작했을 때처럼 굳게굳게 건배의 손을 쥐었다.",mixed
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000067_speed095.wav,쓸데없는 절차와 일 때문에 얼마나 복잡한 삶을 살아가는가?,ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27001259.mp3,"Обладание этими арсеналами малым числом стран дает им, по их разумению, исключительные права.",ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000193_speed105.wav,그들은 저 해를 바라보면서 단결의 힘이란 얼마나 위대함을 깨 달았다.,ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27858360.mp3,Я остался при своем намерении.,ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000375_speed105.wav,나를 낳어 준 고향버덤두 더 정이 들었고요.,ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000332_noise.wav,싸락눈이 그의 다는 얼굴을 선듯선듯하게 하여 준다.,ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_29072569.mp3,"Сашка, мерзавец! не хватай меня...!",ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000544_noise.wav,하루에 세 시간을 걸으면 칠 년 후에 지구를 한바퀴 돌 수 있다.,ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000056_orig.wav,그런 식으로 말하지 마.,ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_26590446.mp3,"Как всем нам хорошо известно, улучшение инфраструктуры позволит обеспечить эффективное предоставление услуг.",ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27584868.mp3,"Я вижу, что и другие группы также провели консультации, и это отрадно.",ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000212_speed105.wav,"이 사람아, 그게 무슨 어리석은 소린가.",ko
C:\Github\cstool\data\processed\codeswitch_eval\clips\cs_000204.wav,"– Эк у тебя все – «дал» да «сунул»… А толку что-то нету. 서두르세요, 경찰차 왔다 갔다 해요",mixed
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_38736671.mp3,Вместо этого они являются важной частью нынешних проблем и кризиса.,ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_36455243.mp3,Я никогда не говорил неправду.,ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_20200311.mp3,Мы считаем крайне важным задуматься о будущей роли министров здравоохранения в управлении сектором здравоохранения.,ru
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000239_orig.wav,먼저 자신을 비웃어라.,ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000272_orig.wav,첫째는 그의 말을 들으며 또 월미도를 바라보았다.,ko
C:\Github\cstool\data\processed\ko_augmented\clips\ko_aug_000140_orig.wav,창경원 앞까지 다다라서야 그는 턱에 닿은 숨을 돌리고 걸음도 늦추잡았다.,ko
C:\Github\cstool\data\processed\codeswitch_eval\clips\cs_000339.wav,"싸락눈이 그의 다는 얼굴을 선듯선듯하게 하여 준다. Мы вынуждены делать больше, используя при этом меньше ресурсов.",mixed
