audio_path,sentence,lang
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_26225248.mp3,Вот такие угрозы исходили до сих пор от Соединенных Штатов.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36800751.mp3,며칠 후에 풍헌이 보이지 않으므로 누구에게 물으니 그는 벌써 어디론지 가버리고 말았다는 것이다.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_39782437.mp3,Как мне процитировать?,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38697629.mp3,오 분 내로 끊어,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_35884397.mp3,그것을 다스리며 지키게 하시고,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36890353.mp3,그리고 이런 으슥한 곳에서는 손이라도 따 뜻 이 쥐어 주었으면 좋을 것 같았다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36890351.mp3,자네도 오늘 재미가 좋아 보이.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41797204.mp3,기억해.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40193101.mp3,그는 자기 집 건넌방자리 속에 누워서 두 눈을 깜작깜작하며 담뱃불만 피우고 있다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36838363.mp3,법률에 따라 선거권을 가진 학생은 선거권 행사와 정당 활동의 자유를 가진다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39082264.mp3,내가 여기 앉았던가?,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40495304.mp3,미쳤어?,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27402717.mp3,Для укрепления экономических и торговых связей между Кубой и Соединенными Штатами есть огромный потенциал.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36305781.mp3,가끔가끔 떨리는 한숨을 쉬기도 하고 고개를 장판 위에 부딪칠 것처럼 꼬박꼬박 하였다.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_22815837.mp3,Это уже ритуал.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_21583637.mp3,Япония полна решимости продолжать оказывать поддержку усилиям по продвижению вперед программы реинтеграции страны.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40612793.mp3,이해하셨습니까?,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27190991.mp3,Но главное — мы будем мирным и процветающим обществом.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_24161563.mp3,Обновление контента,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_21738021.mp3,"Черные с желтым отливом глаза его осторожно шмыгали по комнате, наблюдая господ.",cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_24712684.mp3,"Занимаясь самой разнообразной деятельностью, кооперативы находятся в центре наших усилий по повышению эффективности производства.",cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38383636.mp3,언제든지 면하지 못하는 것은 이 비애이다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37604563.mp3,어떻게든지 좀 더 가까이에서 상황을 지켜 봐야겠어,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_39082338.mp3,영신의 얼굴은 금세 주황물을 끼 얹은 것처럼 빨개졌다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37018705.mp3,크롬 대신 파이어폭스를 사용하여 프라이버시를 지키자.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37638444.mp3,다만 두 사람을 보는 것은 씻은 듯한 하늘에 은반 같은 달뿐이었다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_35884367.mp3,그는 한숨을 길게 쉬며 머리를 숙여 버렸습니다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36800761.mp3,이 한마디는 그의 마지막 소망까지 끊어 버렸다.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_41742787.mp3,얼마 안 됐어요.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_38514546.mp3,Левин уже две недели вернулся из-за границы.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_19588164.mp3,Движение будет конструктивно способствовать дальнейшему уточнению хода реализации этих приоритетных задач.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549470.mp3,겨울이 오면 봄이 멀지 않으리.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_20387105.mp3,"В этом состоит наша общая и, я твердо верю, − достижимая цель.",cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36802471.mp3,가라사대 누가 너의 벗었음을 네게 고하였느냐,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_32172966.mp3,Я ведь добрый-добрый.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_36890313.mp3,아까 팽경창에게 욕을 보고 추운 겨울의 거리를 지향 없이 돌아다닐 때,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27195089.mp3,У нас таких много.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_19493421.mp3,Интересам всех отвечает более представительный характер Совета Безопасности.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_24084617.mp3,"Искусство наживать деньги, или нет более геморроя!",cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40549090.mp3,오른쪽으로 가.,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_38383609.mp3,그러나 그 웃음 소리들이 사라지기 전에 김 첨지는 훌쩍훌쩍 울기 시작하였다.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_27636184.mp3,Он у нас гостить будет?,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40620813.mp3,"아, 해장국이나 먹자니까 이 시간에 뭔 운동이야",cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40370298.mp3,그것은 마치 야반의 종소리와도 같이 사람의 마음을 무겁고 음침하게 하는 음향인 동시에,cv_ko
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_35848521.mp3,법원의 제청에 의한 법률의 위헌여부 심판,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_19872131.mp3,"Мы прорабатываем всеобъемлющую стратегию выявления тех законов, которые нуждаются в пересмотре или в реализации.",cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_25245892.mp3,Так что речь явно идет о незаконной оккупации.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_37597042.mp3,는 듯이 상을 찌푸리고 꼴딱꼴딱 마셔 넘긴다.,cv_ko
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_19054111.mp3,В сфере ядерного разоружения в последнее время имел место ряд достижений.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_26888153.mp3,Случай с Бенгази является наглядным примером осуществления этой доктрины.,cv_ru
C:\Github\cstool\data\raw\cv_ru\clips\common_voice_ru_26811452.mp3,Европейский союз хотел бы вновь подтвердить свою давнишнюю приверженность расширению Конференции по разоружению.,cv_ru
C:\Github\cstool\data\raw\cv_ko\clips\common_voice_ko_40901303.mp3,아우에게서 자세한 경과를 들은 동혁은 영신에게 오래 있었던 것을 몇 번이나 후회하였다.,cv_ko
